,Chatham Roadside,,
Date,Nitric oxide,Nitrogen dioxide,PM10 particulate matter (Grav Equiv)
13/12/2020,2.61812,7.95612,10.991
14/12/2020,11.08795,18.28142,16.828
15/12/2020,14.15952,22.59076,18.479
16/12/2020,2.93377,8.86761,15.379
17/12/2020,13.24388,20.69463,16.047
18/12/2020,5.4104,10.06412,15.822
19/12/2020,6.05927,11.72574,15.218
20/12/2020,6.01603,13.41452,13.245
21/12/2020,5.80792,9.80189,6.16
22/12/2020,17.20035,22.22484,16.707
23/12/2020,9.61668,16.09894,9.863
24/12/2020,2.90318,8.89035,9.904
25/12/2020,4.46217,13.43677,11.675
26/12/2020,2.84617,5.96763,8.011
27/12/2020,7.02282,13.91262,12.641
28/12/2020,6.92565,17.74979,13.285
29/12/2020,14.07859,26.03004,19.405
30/12/2020,25.17671,33.64681,20.934
31/12/2020,19.72166,34.75343,25.161
01/01/2021,14.17861,25.37437,29.228
02/01/2021,8.55543,19.97018,13.929
03/01/2021,4.95278,13.33482,13.124
04/01/2021,3.44043,8.24654,11.232
05/01/2021,4.17666,9.50508,8.454
06/01/2021,11.7045,20.51,15.701
07/01/2021,30.09685,39.7268,26.248
08/01/2021,21.03765,35.23697,23.994
09/01/2021,28.77794,34.65356,24.558
10/01/2021,15.72886,30.89307,20.934
11/01/2021,10.49747,16.8396,13.406
12/01/2021,8.89289,25.75269,12.385
13/01/2021,32.18376,35.44886,19.156
14/01/2021,5.4961,17.11552,15.218
15/01/2021,24.85755,29.12349,25.604
16/01/2021,10.62664,21.73295,14.896
17/01/2021,6.7052,20.3345,16.868
18/01/2021,11.18211,20.41112,16.989
19/01/2021,5.80512,8.57706,nodata
20/01/2021,3.96527,8.36254,nodata
21/01/2021,8.51916,14.84127,18.157
22/01/2021,17.44842,26.09164,16.627
23/01/2021,15.03628,30.22961,15.781
24/01/2021,5.8968,18.56795,12.319
25/01/2021,21.02974,33.68023,18.358
26/01/2021,13.5727,23.98849,15.795
27/01/2021,20.78772,25.95391,14.775
28/01/2021,10.50063,15.27926,10.91
29/01/2021,12.5556,19.72819,15.58
30/01/2021,3.58402,12.39499,19.646
31/01/2021,5.91646,16.71232,20.773
01/02/2021,11.06231,21.51606,25.604
02/02/2021,7.74653,14.55454,21.055
03/02/2021,15.77344,26.25773,23.35
04/02/2021,4.59723,13.72687,17.633
05/02/2021,11.02622,19.49305,15.137
06/02/2021,11.29633,22.34007,22.102
07/02/2021,1.35668,4.89695,nodata
08/02/2021,2.73375,8.76956,13.164
09/02/2021,5.11433,13.56303,14.332
10/02/2021,4.72704,14.83391,nodata
11/02/2021,10.42295,26.5772,nodata
12/02/2021,6.82604,20.34406,nodata
13/02/2021,6.02151,18.56281,39.735
14/02/2021,1.46086,7.445,19.203
15/02/2021,8.48161,16.21204,13.929
16/02/2021,9.42449,15.18079,12.923
17/02/2021,6.64369,12.36322,15.741
18/02/2021,6.86104,12.49174,11.916
19/02/2021,4.14814,10.58575,15.862
20/02/2021,3.29793,8.34964,35.629
21/02/2021,4.89159,12.79062,25.725
22/02/2021,nodata,nodata,nodata
23/02/2021,nodata,nodata,nodata
24/02/2021,8.49126,19.04568,25.645
25/02/2021,17.75167,41.67687,30.556
26/02/2021,13.85841,42.79012,36.595
27/02/2021,11.07804,40.371,34.622
28/02/2021,4.08691,18.89516,24.115
01/03/2021,5.31833,18.98626,35.025
02/03/2021,17.88396,35.10359,47.304
03/03/2021,19.29909,35.1168,47.827
04/03/2021,6.7287,19.49378,14.251
05/03/2021,4.4154,11.91478,14.251
06/03/2021,5.24528,17.90069,13.446
07/03/2021,4.75414,23.51701,18.398
08/03/2021,25.47724,40.07653,48.268
09/03/2021,19.48323,36.14258,37.118
10/03/2021,10.47888,21.16754,20.049
11/03/2021,11.33364,14.79132,14.241
12/03/2021,14.4945,20.40833,13.607
13/03/2021,8.92404,13.78706,11.313
14/03/2021,6.02591,11.59221,11.433
15/03/2021,7.4059,28.56616,18.277
16/03/2021,14.41916,28.3308,17.231
17/03/2021,10.86268,20.89217,23.068
18/03/2021,7.54905,21.44984,18.526
19/03/2021,6.76044,19.48942,16.047
20/03/2021,14.41957,30.18074,21.74
21/03/2021,3.14396,15.86907,16.989
22/03/2021,18.88958,32.69587,32.368
23/03/2021,19.68162,28.24723,35.749
24/03/2021,15.54768,24.59091,36.8
25/03/2021,14.67417,21.22569,18.076
26/03/2021,12.62645,17.79852,13.084
27/03/2021,8.26687,13.26558,17.271
28/03/2021,3.10887,7.11742,19.445
29/03/2021,12.09462,19.45713,23.672
30/03/2021,15.94826,31.71187,30.234
31/03/2021,14.22309,29.52786,32.609
01/04/2021,4.07312,15.66599,32.609
02/04/2021,2.36534,7.22685,12.762
03/04/2021,2.77091,8.50779,23.189
04/04/2021,7.0792,17.52974,26.208
05/04/2021,3.05908,11.7319,14.05
06/04/2021,7.10213,16.82725,13.359
07/04/2021,13.75378,29.23162,19.525
08/04/2021,11.94913,20.36054,19.082
09/04/2021,12.00618,20.77411,18.277
10/04/2021,3.20764,8.36176,11.715
11/04/2021,3.90406,13.45254,10.185
12/04/2021,12.83688,25.5361,16.586
13/04/2021,12.95298,29.03868,21.095
14/04/2021,6.53558,19.64441,16.063
15/04/2021,6.13336,14.06998,13.688
16/04/2021,8.79658,20.88086,15.983
17/04/2021,4.97171,17.3878,13.044
18/04/2021,4.11136,16.76466,15.499
19/04/2021,7.20991,19.95253,27.456
20/04/2021,10.1107,29.50403,39.332
21/04/2021,6.87823,16.4038,29.25
22/04/2021,3.72427,8.00908,21.578
23/04/2021,8.45441,20.29039,24.799
24/04/2021,4.64645,15.31969,21.981
25/04/2021,1.70664,4.30153,14.453
26/04/2021,4.5316,8.6462,14.936
27/04/2021,9.94869,23.03892,31.2
28/04/2021,9.8092,22.81012,32.609
29/04/2021,7.19951,18.97473,14.815
30/04/2021,10.21152,25.42496,22.867
01/05/2021,5.18803,20.04061,20.693
02/05/2021,6.11519,20.10007,22.947
03/05/2021,3.87516,9.08969,21.458
04/05/2021,10.92713,15.66673,13.366
05/05/2021,18.27783,25.59478,9.75
06/05/2021,16.91078,25.57513,14.694
07/05/2021,15.09588,24.05651,17.07
08/05/2021,3.96866,7.5169,12.842
09/05/2021,4.63329,8.32805,11.393
10/05/2021,10.84805,14.64457,16.144
11/05/2021,10.76505,17.27927,14.251
12/05/2021,8.74201,14.9928,18.72
13/05/2021,6.82886,18.38786,14.251
14/05/2021,7.6653,17.09818,17.834
15/05/2021,6.92359,14.42892,12.923
16/05/2021,6.41901,10.16217,13.768
17/05/2021,16.67491,24.26598,14.131
18/05/2021,18.39464,22.97909,14.292
19/05/2021,10.99523,21.69359,11.132
20/05/2021,8.08768,12.96527,16.184
21/05/2021,8.98724,9.73641,19.968
22/05/2021,13.45963,19.79158,10.185
23/05/2021,4.70417,7.96265,10.185
24/05/2021,13.73696,18.82357,12.561
25/05/2021,17.52678,20.93681,13.567
26/05/2021,15.06058,25.43672,15.66
27/05/2021,11.49816,24.76812,20.693
28/05/2021,9.04007,22.00218,28.946
29/05/2021,5.75349,17.39101,25.161
30/05/2021,1.90706,5.89944,21.297
31/05/2021,4.52292,16.06282,35.669
01/06/2021,6.0881,23.47338,29.532
02/06/2021,8.85676,36.65383,38.245
03/06/2021,10.4181,20.50974,22.102
04/06/2021,10.10915,20.15793,10.145
05/06/2021,6.09866,16.52371,13.768
06/06/2021,5.45814,14.78364,12.842
07/06/2021,4.92839,10.17648,7.85
08/06/2021,17.83099,22.65202,13.929
09/06/2021,16.90042,25.6749,14.574
10/06/2021,22.10282,17.6208,10.226
11/06/2021,22.82904,18.02459,13.003
12/06/2021,11.46089,17.1482,22.947
13/06/2021,3.93514,13.21011,17.915
14/06/2021,14.39338,26.44359,22.343
15/06/2021,4.93256,10.43415,14.292
16/06/2021,16.09385,21.86951,19.786
17/06/2021,10.84712,19.42159,15.942
18/06/2021,6.6145,13.8441,5.717
19/06/2021,4.54237,7.61869,8.011
20/06/2021,4.42299,7.67378,8.857
21/06/2021,3.17954,4.83914,13.737
22/06/2021,3.78434,6.81692,15.177
23/06/2021,6.80538,11.83746,13.889
24/06/2021,14.96282,28.40402,22.182
25/06/2021,19.483,20.52282,11.232
26/06/2021,4.66358,10.6224,11.594
27/06/2021,2.81535,8.60439,30.033
28/06/2021,7.54734,15.91963,22.706
29/06/2021,8.75935,13.09892,19.366
30/06/2021,7.62028,16.0249,11.313
01/07/2021,8.9932,19.35832,17.714
02/07/2021,6.98756,15.54443,16.023
03/07/2021,8.8851,14.51314,13.849
04/07/2021,5.49262,7.86278,9.622
05/07/2021,13.38907,13.29752,9.944
06/07/2021,10.67069,11.1481,14.332
07/07/2021,15.87336,13.99939,15.942
08/07/2021,18.17372,19.44599,15.298
09/07/2021,18.5169,23.01004,18.72
10/07/2021,9.99642,17.48576,9.179
11/07/2021,5.97989,11.70151,9.541
12/07/2021,8.06567,16.13847,15.016
13/07/2021,10.38267,16.83594,14.577
14/07/2021,6.86438,14.54574,9.38
15/07/2021,7.94416,11.33409,9.058
16/07/2021,6.02586,11.03253,18.479
17/07/2021,4.85989,11.24537,7.649
18/07/2021,4.6742,13.80863,8.172
19/07/2021,9.8637,18.95657,15.016
20/07/2021,6.95646,20.32372,23.511
21/07/2021,5.99035,21.53482,30.556
22/07/2021,4.99273,14.46959,21.993
23/07/2021,3.38295,7.48949,14.332
24/07/2021,4.54772,15.26132,32.005
25/07/2021,3.70485,13.48242,22.504
26/07/2021,9.98245,21.38181,27.295
27/07/2021,10.73952,17.59725,13.527
28/07/2021,9.6033,11.12309,13.326
29/07/2021,11.4022,12.38176,15.375
30/07/2021,8.46721,9.97335,11.071
31/07/2021,13.81142,17.99636,8.172
01/08/2021,8.46191,12.31329,10.346
02/08/2021,4.4246,10.7642,11.353
03/08/2021,5.33749,13.13902,11.675
04/08/2021,6.4047,16.87919,14.211
05/08/2021,6.27532,11.19156,12.883
06/08/2021,9.65165,10.37518,15.258
07/08/2021,8.81901,10.53895,10.105
08/08/2021,4.59374,5.97836,17.029
09/08/2021,12.03408,12.47927,12.561
10/08/2021,17.28253,18.89625,12.423
11/08/2021,12.24727,15.99044,nodata
12/08/2021,16.47613,16.98275,nodata
13/08/2021,13.18527,15.01836,nodata
14/08/2021,11.79706,15.21958,nodata
15/08/2021,6.43408,9.77946,nodata
16/08/2021,10.5242,21.17437,nodata
17/08/2021,nodata,nodata,nodata
18/08/2021,nodata,nodata,nodata
19/08/2021,16.24534,22.16589,8.978
20/08/2021,15.14277,21.61849,7.166
21/08/2021,5.04914,13.06069,10.709
22/08/2021,6.2684,17.16797,9.018
23/08/2021,4.46812,10.22876,15.459
24/08/2021,3.39295,7.51177,16.425
25/08/2021,5.85022,12.04632,9.501
26/08/2021,5.11276,10.28849,12.037
27/08/2021,7.16809,15.01122,20.33
28/08/2021,4.52612,11.24802,17.915
29/08/2021,2.86694,8.67668,14.815
30/08/2021,2.18836,5.95243,14.171
31/08/2021,4.23328,8.95951,17.955
01/09/2021,4.21946,8.32469,19.807
02/09/2021,2.90363,6.43194,22.424
03/09/2021,4.64857,10.59523,29.63
04/09/2021,2.91076,8.71856,30.033
05/09/2021,3.00805,15.66459,36.474
06/09/2021,8.72799,25.71693,35.709
07/09/2021,10.47418,30.16841,44.244
08/09/2021,10.52535,36.9252,47.183
09/09/2021,14.49459,20.05695,11.99
10/09/2021,12.45116,17.97781,7.287
11/09/2021,9.99702,16.3227,8.937
12/09/2021,4.63408,14.12378,12.842
13/09/2021,5.64349,14.01325,11.393
14/09/2021,19.94919,29.35294,28.785
15/09/2021,7.83148,25.7447,15.902
16/09/2021,14.63075,25.0882,19.534
17/09/2021,8.65992,17.73395,14.574
18/09/2021,4.10469,16.98422,20.854
19/09/2021,8.41456,24.15385,24.92
20/09/2021,8.33602,19.71741,16.103
21/09/2021,13.80997,22.03643,21.82
22/09/2021,19.17188,27.709,21.297
23/09/2021,20.04116,24.54693,10.502
24/09/2021,17.08148,23.98374,10.87
25/09/2021,10.59386,16.61717,10.266
26/09/2021,5.05341,15.27414,16.144
27/09/2021,8.64363,13.50999,7.891
28/09/2021,8.86785,14.35502,12.078
29/09/2021,17.94255,22.47247,10.185
30/09/2021,9.65427,15.58435,13.648
01/10/2021,13.5805,17.23256,12.078
02/10/2021,3.46061,5.66383,5.998
03/10/2021,7.15541,9.64996,8.414
04/10/2021,13.75739,16.1377,12.601
05/10/2021,15.98155,14.55369,9.34
06/10/2021,10.8134,21.04784,13.443
07/10/2021,15.19405,20.40745,15.258
08/10/2021,10.9488,21.02114,19.405
09/10/2021,13.50992,21.66614,37.44
10/10/2021,12.68483,23.8889,25.282
11/10/2021,14.69881,26.1457,15.701
12/10/2021,17.3162,22.84974,16.506
13/10/2021,19.8293,27.14913,13.567
14/10/2021,22.4365,21.08206,15.902
15/10/2021,11.15058,21.26324,15.016
16/10/2021,6.46926,13.15684,13.366
17/10/2021,6.25632,10.62795,13.688
18/10/2021,10.67426,14.59834,14.855
19/10/2021,10.75235,8.18999,19.566
20/10/2021,10.91377,12.16458,15.942
21/10/2021,13.16907,20.42538,12.48
22/10/2021,19.64326,23.77672,11.031
23/10/2021,9.10474,15.10676,10.95
24/10/2021,4.89822,6.7791,13.406
25/10/2021,15.35034,20.13098,19.203
26/10/2021,13.92595,16.36728,20.25
27/10/2021,9.34321,11.16926,14.453
28/10/2021,7.62802,11.59453,18.157
29/10/2021,9.58069,13.57078,17.553
30/10/2021,10.9251,17.30016,13.97
31/10/2021,4.33785,6.38297,15.057
01/11/2021,12.87284,19.52252,14.171
02/11/2021,22.66879,37.52044,15.902
03/11/2021,23.95445,33.19034,19.163
04/11/2021,5.38405,12.98,8.169
05/11/2021,31.14404,38.82439,26.007
06/11/2021,11.72296,16.85273,18.559
07/11/2021,12.04042,20.81884,19.807
08/11/2021,31.26007,30.59946,22.263
09/11/2021,24.69454,24.99773,10.789
10/11/2021,27.06589,28.31339,11.331
11/11/2021,19.76225,27.82454,8.575
12/11/2021,12.85556,16.33454,16.707
13/11/2021,7.32438,14.37146,7.246
14/11/2021,6.45197,13.02532,9.581
15/11/2021,30.88237,30.87932,21.136
16/11/2021,26.59142,34.46454,17.955
17/11/2021,29.35132,34.53351,20.466
18/11/2021,25.93662,27.28815,17.07
19/11/2021,31.73916,32.51951,16.023
20/11/2021,22.62691,28.70726,16.667
21/11/2021,6.31598,11.53522,8.937
22/11/2021,10.30893,17.34207,13.607
23/11/2021,51.33015,38.34779,25.604
24/11/2021,32.55503,41.02662,26.772
25/11/2021,13.40513,26.52401,13.929
26/11/2021,13.75128,21.74556,10.628
27/11/2021,4.65208,5.8727,5.153
28/11/2021,5.74176,13.6769,7.488
29/11/2021,36.74241,36.81592,18.157
30/11/2021,14.7887,13.35067,5.475
01/12/2021,11.56735,16.40592,12.359
02/12/2021,16.27726,27.6675,19.405
03/12/2021,21.15733,27.18938,14.372
04/12/2021,11.74541,15.51516,14.211
05/12/2021,3.06628,4.51031,8.978
06/12/2021,18.3457,19.96969,13.849
07/12/2021,4.76053,8.16797,12.601